,Date,Time,Close,Open,Low,High,Volume,Telapsed,Price
,10-Dec-2021,14:30,74.09,74.62,73.95,74.81,987,0.00 ,74.09
,10-Dec-2021,15:00,73.66,74.07,73.65,74.24,852,0.02,73.66
,10-Dec-2021,15:30,74.09,73.74,73.57,74.10,"1,385",0.04,74.09
,10-Dec-2021,16:00,74.03,74.06,73.95,74.25,957,0.06,74.03
,10-Dec-2021,16:30,73.75,74.02,73.65,74.05,"2,318",0.08,73.75
,10-Dec-2021,17:00,73.71,73.70,73.51,73.82,"1,804",0.10,73.71
,10-Dec-2021,17:30,73.80,73.63,73.62,73.96,"1,844",0.13,73.80
,10-Dec-2021,18:00,73.97,73.79,73.79,74.02,"1,370",0.15,73.97
,10-Dec-2021,18:30,73.92,73.96,73.84,74.19,"1,310",0.17,73.92
,10-Dec-2021,19:00,74.08,73.85,73.83,74.08,"3,090",0.19,74.08
,10-Dec-2021,19:30,74.26,74.05,73.84,74.30,"6,675",0.21,74.26
,10-Dec-2021,20:00,74.29,74.28,74.26,74.36,"1,289",0.23,74.29
,10-Dec-2021,20:30,74.36,74.31,74.26,74.56,309,0.25,74.36
,10-Dec-2021,21:00,74.44,74.37,74.37,74.50,"1,826",0.27,74.44
,10-Dec-2021,21:30,74.42,74.46,74.41,74.46,14,0.29,74.42
,10-Dec-2021,22:00,74.49,74.40,74.37,74.49,287,0.31,74.49
,12-Dec-2021,23:30,74.82,74.77,74.56,74.82,109,2.38,74.82
,13-Dec-2021,00:00,74.94,74.83,74.83,74.94,18,2.40,74.94
,13-Dec-2021,00:30,75.00,75.00,74.93,75.04,53,2.42,75.00
,13-Dec-2021,01:00,74.88,75.00,74.87,75.00,49,2.44,74.88
,13-Dec-2021,01:30,75.05,74.85,74.69,75.08,204,2.46,75.05
,13-Dec-2021,02:00,75.16,75.05,75.02,75.23,37,2.48,75.16
,13-Dec-2021,02:30,75.12,75.17,75.12,75.17,23,2.50,75.12
,13-Dec-2021,03:00,75.17,75.12,75.05,75.22,91,2.52,75.17
,13-Dec-2021,03:30,75.32,75.17,75.16,75.38,155,2.54,75.32
,13-Dec-2021,04:00,75.05,75.27,75.05,75.27,21,2.56,75.05
,13-Dec-2021,05:00,75.13,75.17,75.10,75.24,51,2.60,75.13
,13-Dec-2021,06:00,75.19,75.15,75.07,75.20,143,2.65,75.19
,13-Dec-2021,06:30,75.33,75.21,75.20,75.39,130,2.67,75.33
,13-Dec-2021,07:00,75.40,75.34,75.33,75.46,222,2.69,75.40
,13-Dec-2021,07:30,75.06,75.41,75.02,75.45,193,2.71,75.06
,13-Dec-2021,08:00,74.91,75.10,74.87,75.10,163,2.73,74.91
,13-Dec-2021,08:30,74.76,74.96,74.70,74.97,865,2.75,74.76
,13-Dec-2021,09:00,74.58,74.73,74.54,74.74,"1,529",2.77,74.58
,13-Dec-2021,09:30,74.82,74.63,74.53,74.83,"1,619",2.79,74.82
,13-Dec-2021,10:00,74.40,74.84,74.26,74.84,"1,009",2.81,74.40
,13-Dec-2021,10:30,74.49,74.44,74.24,74.50,"1,434",2.83,74.49
,13-Dec-2021,11:00,74.34,74.48,74.34,74.51,209,2.85,74.34
,13-Dec-2021,11:30,74.13,74.42,74.02,74.42,"2,673",2.88,74.13
,13-Dec-2021,12:00,74.04,74.03,73.90,74.10,"1,045",2.90,74.04
,13-Dec-2021,12:30,73.68,73.98,73.58,73.98,"1,083",2.92,73.68
,13-Dec-2021,13:00,73.65,73.63,73.49,73.66,604,2.94,73.65
,13-Dec-2021,13:30,73.91,73.65,73.65,74.01,969,2.96,73.91
,13-Dec-2021,14:00,74.20,73.97,73.94,74.24,"1,084",2.98,74.20
,13-Dec-2021,14:30,73.87,74.20,73.78,74.20,582,3.00,73.87
,13-Dec-2021,15:00,73.92,73.85,73.44,73.95,"2,098",3.02,73.92
,13-Dec-2021,15:30,73.60,73.92,73.54,74.05,"1,808",3.04,73.60
,13-Dec-2021,16:00,74.23,73.57,73.54,74.59,"2,131",3.06,74.23
,13-Dec-2021,16:30,73.92,74.23,73.91,74.33,"1,563",3.08,73.92
,13-Dec-2021,17:00,74.04,73.93,73.79,74.13,445,3.10,74.04
,13-Dec-2021,17:30,74.18,74.04,73.95,74.24,996,3.13,74.18
,13-Dec-2021,18:00,74.15,74.18,74.12,74.32,931,3.15,74.15
,13-Dec-2021,18:30,73.90,74.14,73.90,74.16,"1,795",3.17,73.90
,13-Dec-2021,19:00,73.70,73.87,73.65,73.87,"2,887",3.19,73.70
,13-Dec-2021,19:30,73.64,73.68,73.55,73.89,"5,022",3.21,73.64
,13-Dec-2021,20:00,73.79,73.62,73.58,73.81,"1,805",3.23,73.79
,13-Dec-2021,20:30,73.82,73.81,73.81,73.86,634,3.25,73.82
,13-Dec-2021,21:00,73.66,73.81,73.66,73.83,128,3.27,73.66
,13-Dec-2021,21:30,73.70,73.67,73.67,73.78,93,3.29,73.70
,13-Dec-2021,22:00,73.58,73.69,73.54,73.73,360,3.31,73.58
,14-Dec-2021,01:30,73.74,73.79,73.69,73.90,285,3.46,73.74
,14-Dec-2021,02:00,73.47,73.65,73.44,73.65,300,3.48,73.47
,14-Dec-2021,02:30,73.36,73.45,73.36,73.61,145,3.50,73.36
,14-Dec-2021,03:00,73.25,73.40,73.04,73.41,379,3.52,73.25
,14-Dec-2021,03:30,73.16,73.26,73.15,73.37,71,3.54,73.16
,14-Dec-2021,04:30,73.43,73.36,73.36,73.43,24,3.58,73.43
,14-Dec-2021,05:00,73.37,73.37,73.37,73.37,5,3.60,73.37
,14-Dec-2021,05:30,73.39,73.38,73.36,73.39,6,3.63,73.39
,14-Dec-2021,06:00,73.68,73.41,73.37,73.72,46,3.65,73.68
,14-Dec-2021,06:30,73.85,73.62,73.59,73.85,144,3.67,73.85
