unix,date,symbol,open,high,low,Price,Telapsed
1526364000,15/05/2018 06:00,BTC/EUR,7311.2,7390.7,7307.57,7335,0.0000
1526367600,15/05/2018 07:00,BTC/EUR,7335,7354.32,7306.34,7339.67,0.0417
1526371200,15/05/2018 08:00,BTC/EUR,7339.67,7339.67,7265.4,7313.2,0.0833
1526374800,15/05/2018 09:00,BTC/EUR,7313.2,7347.22,7300,7316.1,0.1250
1526378400,15/05/2018 10:00,BTC/EUR,7316.1,7427.72,7296.07,7381.92,0.1667
1526382000,15/05/2018 11:00,BTC/EUR,7381.92,7396.98,7350.6,7369.13,0.2083
1526385600,15/05/2018 12:00,BTC/EUR,7369.13,7400,7363.34,7399,0.2500
1526389200,15/05/2018 13:00,BTC/EUR,7399,7400,7339.9,7399.98,0.2917
1526392800,15/05/2018 14:00,BTC/EUR,7399.98,7399.98,7165.6,7192.5,0.3333
1526396400,15/05/2018 15:00,BTC/EUR,7192.5,7209,7150.77,7189.2,0.3750
1526400000,15/05/2018 16:00,BTC/EUR,7189.2,7246.7,7175.63,7204.1,0.4167
1526403600,15/05/2018 17:00,BTC/EUR,7204.1,7246.77,7180,7207.61,0.4583
1526407200,15/05/2018 18:00,BTC/EUR,7207.61,7214.91,7122,7185.4,0.5000
1526410800,15/05/2018 19:00,BTC/EUR,7185.4,7232,7140.83,7230.68,0.5417
1526414400,15/05/2018 20:00,BTC/EUR,7230.68,7230.68,7171.29,7207.8,0.5833
1526418000,15/05/2018 21:00,BTC/EUR,7207.8,7217.39,7176.23,7187.35,0.6250
1526421600,15/05/2018 22:00,BTC/EUR,7187.35,7231.99,7123,7154.44,0.6667
1526425200,15/05/2018 23:00,BTC/EUR,7154.44,7195.36,7150.07,7173.1,0.7083
1526428800,16/05/2018 00:00,BTC/EUR,7173.1,7189.96,7132.84,7143.19,0.7500
1526432400,16/05/2018 01:00,BTC/EUR,7143.19,7162.07,7005,7047.71,0.7917
1526436000,16/05/2018 02:00,BTC/EUR,7047.71,7052.63,6865.21,6886.6,0.8333
1526439600,16/05/2018 03:00,BTC/EUR,6886.6,6953.33,6883.37,6900.13,0.8750
1526443200,16/05/2018 04:00,BTC/EUR,6900.13,6969,6893.94,6958.63,0.9167
1526446800,16/05/2018 05:00,BTC/EUR,6958.63,6971.2,6905.01,6931.68,0.9583
1526450400,16/05/2018 06:00,BTC/EUR,6931.68,6984.63,6913.85,6958.4,1.0000
1526454000,16/05/2018 07:00,BTC/EUR,6958.4,6976.84,6930,6953.2,1.0417
1526457600,16/05/2018 08:00,BTC/EUR,6953.2,6978.7,6915.73,6949.79,1.0833
1526461200,16/05/2018 09:00,BTC/EUR,6949.79,6997.06,6933.68,6978.1,1.1250
1526464800,16/05/2018 10:00,BTC/EUR,6978.1,7210,6978.1,7104.58,1.1667
1526468400,16/05/2018 11:00,BTC/EUR,7104.58,7175.09,7102,7105.63,1.2083
1526472000,16/05/2018 12:00,BTC/EUR,7105.63,7133.39,7100.6,7110,1.2500
1526475600,16/05/2018 13:00,BTC/EUR,7110,7125,6910.54,6937.59,1.2917
1526479200,16/05/2018 14:00,BTC/EUR,6937.59,6997.62,6926.42,6973.67,1.3333
1526482800,16/05/2018 15:00,BTC/EUR,6973.67,7111.3,6973.67,7039.92,1.3750
1526486400,16/05/2018 16:00,BTC/EUR,7039.92,7075.45,6954.52,7009.7,1.4167
1526490000,16/05/2018 17:00,BTC/EUR,7009.7,7077.46,6991.79,7028.41,1.4583
1526493600,16/05/2018 18:00,BTC/EUR,7028.41,7077.68,7011.41,7029.88,1.5000
1526497200,16/05/2018 19:00,BTC/EUR,7029.88,7099.01,6997.36,6997.36,1.5417
1526500800,16/05/2018 20:00,BTC/EUR,6997.36,7049.24,6975.01,7046.68,1.5833
1526504400,16/05/2018 21:00,BTC/EUR,7046.68,7058.69,7011.06,7033.14,1.6250
1526508000,16/05/2018 22:00,BTC/EUR,7033.14,7098.98,7010.42,7011.87,1.6667
1526511600,16/05/2018 23:00,BTC/EUR,7011.87,7079.44,7011.87,7056.14,1.7083
1526515200,17/05/2018 00:00,BTC/EUR,7056.14,7111.3,7056.14,7075.45,1.7500
1526518800,17/05/2018 01:00,BTC/EUR,7075.45,7096,7056.71,7081.2,1.7917
1526522400,17/05/2018 02:00,BTC/EUR,7081.2,7111.26,7069.88,7075.21,1.8333
1526526000,17/05/2018 03:00,BTC/EUR,7075.21,7170.62,7056.4,7059.91,1.8750
1526529600,17/05/2018 04:00,BTC/EUR,7059.91,7091.68,7041.32,7041.33,1.9167
1526533200,17/05/2018 05:00,BTC/EUR,7041.33,7098.04,7003.45,7062.32,1.9583
1526536800,17/05/2018 06:00,BTC/EUR,7062.32,7101,7048.14,7063.4,2.0000
1526540400,17/05/2018 07:00,BTC/EUR,7063.4,7089.41,6952.01,6982.41,2.0417
1526544000,17/05/2018 08:00,BTC/EUR,6982.41,7031,6975,7005.55,2.0833
1526547600,17/05/2018 09:00,BTC/EUR,7005.55,7045.27,6997.2,7020.76,2.1250
1526551200,17/05/2018 10:00,BTC/EUR,7020.76,7069.2,7012.27,7052.27,2.1667
1526554800,17/05/2018 11:00,BTC/EUR,7052.27,7064.31,7032.04,7049.19,2.2083
1526558400,17/05/2018 12:00,BTC/EUR,7049.19,7069.51,6981.34,7028,2.2500
1526562000,17/05/2018 13:00,BTC/EUR,7028,7050,7004.87,7043.55,2.2917
1526565600,17/05/2018 14:00,BTC/EUR,7043.55,7087.49,7034.43,7053.53,2.3333
1526569200,17/05/2018 15:00,BTC/EUR,7053.53,7068.45,7034.4,7044.06,2.3750
1526572800,17/05/2018 16:00,BTC/EUR,7044.06,7066.9,6990.01,7008.04,2.4167
1526576400,17/05/2018 17:00,BTC/EUR,7008.04,7034.01,6990.01,7001.41,2.4583
1526580000,17/05/2018 18:00,BTC/EUR,7001.41,7030.49,6900,6940,2.5000
1526583600,17/05/2018 19:00,BTC/EUR,6940,6961.28,6920.11,6947.87,2.5417
1526587200,17/05/2018 20:00,BTC/EUR,6947.87,6994.29,6941.31,6978.83,2.5833
1526590800,17/05/2018 21:00,BTC/EUR,6978.83,6981.67,6903.9,6910.99,2.6250
1526594400,17/05/2018 22:00,BTC/EUR,6910.99,6910.99,6783.02,6855.99,2.6667
1526598000,17/05/2018 23:00,BTC/EUR,6855.99,6875,6789.98,6845.29,2.7083
1526601600,18/05/2018 00:00,BTC/EUR,6845.29,6848.6,6707.02,6747.99,2.7500
1526605200,18/05/2018 01:00,BTC/EUR,6747.99,6791.7,6737.58,6769.3,2.7917
1526608800,18/05/2018 02:00,BTC/EUR,6769.3,6799.94,6744,6779.5,2.8333
1526612400,18/05/2018 03:00,BTC/EUR,6779.5,6795,6766.69,6786.29,2.8750
1526616000,18/05/2018 04:00,BTC/EUR,6786.29,6841.88,6777.41,6800,2.9167
1526619600,18/05/2018 05:00,BTC/EUR,6800,6828.83,6778.87,6821.87,2.9583
1526623200,18/05/2018 06:00,BTC/EUR,6821.87,6822.56,6746.65,6753.56,3.0000
1526626800,18/05/2018 07:00,BTC/EUR,6753.56,6919.46,6753.56,6850.33,3.0417
1526630400,18/05/2018 08:00,BTC/EUR,6850.33,6890,6850.33,6889.09,3.0833
1526634000,18/05/2018 09:00,BTC/EUR,6889.09,6900,6866.97,6891.29,3.1250
1526637600,18/05/2018 10:00,BTC/EUR,6891.29,6914.8,6874,6899.98,3.1667
1526641200,18/05/2018 11:00,BTC/EUR,6899.98,6910.4,6850,6873.79,3.2083
1526644800,18/05/2018 12:00,BTC/EUR,6873.79,6914.34,6856.21,6892,3.2500
1526648400,18/05/2018 13:00,BTC/EUR,6892,6917.94,6857.31,6892.73,3.2917
1526652000,18/05/2018 14:00,BTC/EUR,6892.73,6892.73,6839.85,6872,3.3333
1526655600,18/05/2018 15:00,BTC/EUR,6872,6919.7,6860.4,6896.29,3.3750
1526659200,18/05/2018 16:00,BTC/EUR,6896.29,6920.11,6865.6,6892.32,3.4167
1526662800,18/05/2018 17:00,BTC/EUR,6892.32,6922.69,6880.02,6897.78,3.4583
1526666400,18/05/2018 18:00,BTC/EUR,6897.78,6992.9,6880.01,6976.88,3.5000
1526670000,18/05/2018 19:00,BTC/EUR,6976.88,7038.56,6960.1,7005.57,3.5417
1526673600,18/05/2018 20:00,BTC/EUR,7005.57,7011,6970.81,6989.98,3.5833
1526677200,18/05/2018 21:00,BTC/EUR,6989.98,7015,6988.01,6999.98,3.6250
1526680800,18/05/2018 22:00,BTC/EUR,6999.98,7013.53,6970.9,6990.43,3.6667
1526684400,18/05/2018 23:00,BTC/EUR,6990.43,7011.5,6984.71,6999.01,3.7083
1526688000,19/05/2018 00:00,BTC/EUR,6999.01,7014.01,6989,6989,3.7500
1526691600,19/05/2018 01:00,BTC/EUR,6989,7000,6950,6970.42,3.7917
