index,Date,Time,Price,Day,Telapsed
0,04/03/2022,00:01:00,109.60,0,1.00
1,04/03/2022,00:15:00,110.31,0,15.00
2,04/03/2022,00:30:00,112.02,0,30.00
3,04/03/2022,00:45:00,111.84,0,45.00
4,04/03/2022,01:00:00,111.68,0,60.00
5,04/03/2022,01:15:00,111.45,0,75.00
6,04/03/2022,01:30:00,111.04,0,90.00
7,04/03/2022,01:45:00,109.34,0,105.00
8,04/03/2022,02:00:00,110.50,0,120.00
9,04/03/2022,02:15:00,110.21,0,135.00
10,04/03/2022,02:30:00,109.58,0,150.00
11,04/03/2022,02:45:00,109.76,0,165.00
12,04/03/2022,03:00:00,110.22,0,180.00
13,04/03/2022,03:15:00,109.48,0,195.00
14,04/03/2022,03:30:00,109.64,0,210.00
15,04/03/2022,03:45:00,109.57,0,225.00
16,04/03/2022,04:00:00,109.68,0,240.00
17,04/03/2022,04:15:00,109.87,0,255.00
18,04/03/2022,04:30:00,109.96,0,270.00
19,04/03/2022,04:45:00,109.82,0,285.00
20,04/03/2022,05:00:00,110.07,0,300.00
21,04/03/2022,05:15:00,110.10,0,315.00
22,04/03/2022,05:30:00,108.92,0,330.00
23,04/03/2022,05:45:00,108.12,0,345.00
24,04/03/2022,06:00:00,108.76,0,360.00
25,04/03/2022,06:15:00,108.51,0,375.00
26,04/03/2022,06:30:00,109.61,0,390.00
27,04/03/2022,06:45:00,109.18,0,405.00
28,04/03/2022,07:00:00,109.45,0,420.00
29,04/03/2022,07:15:00,109.73,0,435.00
30,04/03/2022,07:30:00,109.44,0,450.00
31,04/03/2022,07:45:00,108.46,0,465.00
32,04/03/2022,08:00:00,108.00,0,480.00
33,04/03/2022,08:15:00,108.54,0,495.00
34,04/03/2022,08:30:00,108.39,0,510.00
35,04/03/2022,08:45:00,108.11,0,525.00
36,04/03/2022,09:00:00,108.53,0,540.00
37,04/03/2022,09:15:00,109.07,0,555.00
38,04/03/2022,09:30:00,108.93,0,570.00
39,04/03/2022,09:45:00,108.96,0,585.00
40,04/03/2022,10:00:00,109.18,0,600.00
41,04/03/2022,10:15:00,110.20,0,615.00
42,04/03/2022,10:30:00,109.76,0,630.00
43,04/03/2022,10:45:00,110.35,0,645.00
44,04/03/2022,11:00:00,109.96,0,660.00
45,04/03/2022,11:15:00,110.08,0,675.00
46,04/03/2022,11:30:00,110.20,0,690.00
47,04/03/2022,11:45:00,109.55,0,705.00
