index,Date,Time,Price,Day,Telapsed
0,07/03/2022,00:01:00,125.86,1,1.00
1,07/03/2022,00:15:00,124.89,1,15.00
2,07/03/2022,00:30:00,124.90,1,30.00
3,07/03/2022,00:45:00,123.25,1,45.00
4,07/03/2022,01:00:00,123.13,1,60.00
5,07/03/2022,01:15:00,123.37,1,75.00
6,07/03/2022,01:30:00,124.35,1,90.00
7,07/03/2022,01:45:00,123.72,1,105.00
8,07/03/2022,02:00:00,123.73,1,120.00
9,07/03/2022,02:15:00,124.16,1,135.00
10,07/03/2022,02:30:00,124.60,1,150.00
11,07/03/2022,02:45:00,125.56,1,165.00
12,07/03/2022,03:00:00,124.18,1,180.00
13,07/03/2022,03:15:00,123.90,1,195.00
14,07/03/2022,03:30:00,124.38,1,210.00
15,07/03/2022,03:45:00,124.35,1,225.00
16,07/03/2022,04:00:00,124.55,1,240.00
17,07/03/2022,04:15:00,124.12,1,255.00
18,07/03/2022,04:30:00,125.20,1,270.00
19,07/03/2022,04:45:00,126.03,1,285.00
20,07/03/2022,05:00:00,126.32,1,300.00
21,07/03/2022,05:15:00,125.92,1,315.00
22,07/03/2022,05:30:00,125.87,1,330.00
23,07/03/2022,05:45:00,125.93,1,345.00
24,07/03/2022,06:00:00,126.43,1,360.00
25,07/03/2022,06:15:00,126.03,1,375.00
26,07/03/2022,06:30:00,125.70,1,390.00
27,07/03/2022,06:45:00,125.73,1,405.00
28,07/03/2022,07:00:00,125.00,1,420.00
29,07/03/2022,07:15:00,125.35,1,435.00
30,07/03/2022,07:30:00,125.19,1,450.00
31,07/03/2022,07:45:00,125.43,1,465.00
32,07/03/2022,08:00:00,124.04,1,480.00
33,07/03/2022,08:15:00,124.37,1,495.00
34,07/03/2022,08:30:00,124.06,1,510.00
35,07/03/2022,08:45:00,123.82,1,525.00
36,07/03/2022,09:00:00,123.68,1,540.00
37,07/03/2022,09:15:00,123.14,1,555.00
38,07/03/2022,09:30:00,124.09,1,570.00
39,07/03/2022,09:45:00,123.42,1,585.00
40,07/03/2022,10:00:00,122.60,1,600.00
41,07/03/2022,10:15:00,122.95,1,615.00
42,07/03/2022,10:30:00,122.98,1,630.00
43,07/03/2022,10:45:00,122.67,1,645.00
44,07/03/2022,11:00:00,122.56,1,660.00
45,07/03/2022,11:15:00,122.97,1,675.00
46,07/03/2022,11:30:00,122.84,1,690.00
47,07/03/2022,11:45:00,123.56,1,705.00
48,07/03/2022,12:00:00,122.82,1,720.00
